station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C3021000,0.077899,2.644961,0.168729,0.205312,0.066391,0.174398,0,0.337453,0.029026,0.775464,0.069236,0.556036,0,0,0.206621,0.357143,0
C3022000,0.136179,3.791329,0.197997,0.17894,0.099227,0.187511,0,0.275966,0.016488,1.168556,0.062272,0.049028,0,0,0.173728,0.461229,0
C3023000,0.012736,1.174343,0.108609,0.054711,0.02956,0.06277,0,0.15077,0.009837,0.29708,0.014993,0.197387,0,0,0.066782,0.172423,0
C3024000,0.099534,3.566825,0.20611,0.17742,0.084688,0.170247,0,0.246547,0,1.074778,0.038344,0.384672,0,0,0.161382,0.474707,0
C3025000,9.551103,21.021436,2.257996,2.23474,0.30231,1.416667,0,0.263455,0.150671,18.809228,0.750053,0.548387,0,0,0.415719,3.16247,0
C3026000,4.450317,14.04464,0.945773,0.60875,0,1.486658,0,0.381289,0,7.762734,0.269381,0.617166,0,0,0.299627,1.622279,0
C3027000,1.014661,12.951707,0.778723,0.706472,0.138076,0.899038,0,0.494156,0.039783,5.441741,0.180153,0.640742,0,0,0.29155,1.279336,0
C3028000,0.080554,2.951798,0.207197,0.090526,0.074818,0.429728,0,0.256349,0.014929,1.064309,0.058319,0.210739,0,0,0.094429,0.444755,0
C3029000,0.460805,6.671163,0.536196,0.298458,0.066124,0.147722,0,0.441118,0.026643,2.752742,0.136195,0.530589,0,0,0.250219,0.722573,0
C3030000,0.090239,3.081413,0.164831,0.150401,0.081155,0.151931,0,0.247025,0.011904,1.001153,0.046664,0.323349,0,0,0.119238,0.414335,0
C3031000,0.085906,3.863565,0.242473,0.313784,0.145814,0.192952,0,0.304212,0.014856,1.152493,0.073042,0.403785,0,0,0.138707,0.473371,0
C3032000,1.157607,7.886011,0.556855,0.54783,0.174353,0.348885,0,0.218855,0.039835,3.493843,0.162735,0.496853,0,0,0.074731,0.51408,0
C3033000,1.636019,12.930462,1.036191,0.332189,0.298624,0.53000100000000006,0,0.313989,0,6.499222,0.263072,0.652672,0,0,0.108525,0.95627,0
C3034000,1.26273,9.630937,0.72355,0.313216,0.318172,0.406105,0,0.283404,0,4.031064,0.197588,0.765413,0,0,0.12212,0.823744,0
C3035000,0.337218,4.984154,0.427034,0.137045,0.209402,0.263042,0,0.297376,0,1.739435,0.108907,0.518136,0,0,0.070332,0.47886,0
C3036000,0.171639,2.006122,0.13377,0.130766,0.023221,0.108966,0,0.1524,0.021519,0.494675,0.037822,0.307599,0,0,0.019799,0.089034,0
C3038000,0.146237,1.996271,0.130676,0.118822,0,0.102118,0,0.183094,0.024877,0.537056,0.03318,0.268381,0,0,0.024802,0.125601,0
C3039000,0.078733,1.367322,0.0985,0.075903,0.01782,0.079305,0,0.149501,0.018463,0.331911,0.031613,0.193699,0,0,0.0184,0.088271,0
C3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4001000,0.070468,0.525111,0.061512,0.026465,0.022954,0.027364,0,0.08263,0.009252,0.051469,0.029159,0.068644,0,0,0.004221,0.032009,0
C4002000,0.184512,1.287536,0.112653,0.076668,0.055967,0.101607,0,0.151998,0.025396,0.320449,0.047297,0.25128,0,0,0.017047,0.11187,0
C4003000,0.137651,0.911556,0.10686,0.043081,0.022446,0.044019,0,0.105167,0.012482,0.256886,0.022677,0.068302,0,0,0.025825,0.090717,0
C4004000,0.505553,1.081982,0.171572,0.028582,0.02694,0.043973,0,0.115326,0.013574,0.365003,0.013927,0.035445,0,0,0.020105,0.086044,0
C4005000,0.189795,0.581647,0.065862,0.013952,0.00956,0.031063,0,0.042939,0.006211,0.166875,0.005972,0.034584,0,0,0.02429,0.045645,0
C4006000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4007000,0.687684,2.452361,0.353899,0.066403,0.06374,0.10328,0,0.188759,0.019993,0.962259,0.033931,0.083877,0,0,0.020722,0.132589,0
C4008000,1.305193,3.409303,0.359922,0.084468,0.097889,0.144015,0,0.150067,0,1.334388,0.053423,0.058923,0,0,0.068413,0.250557,0
